state,state_name,name,full_address,address_line1,address_city,address_state,address_zip,party,phone,url,facebook,twitter,youtube
AK,Alaska,Lisa Murkowski,522 Hart Senate Office Building Washington DC 20510,522 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-6665,http://www.murkowski.senate.gov/public/,SenLisaMurkowski,lisamurkowski,senatormurkowski
AK,Alaska,Dan Sullivan,702 Hart Senate Office Building Washington DC 20510,702 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-3004,http://www.sullivan.senate.gov/,SenDanSullivan,SenDanSullivan,UC7tXCm8gKlAhTFo2kuf5ylw
AL,Alabama,Richard C. Shelby,304 Russell Senate Office Building Washington DC 20510,304 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5744,http://www.shelby.senate.gov/public/,RichardShelby,SenShelbyPress,SenatorRichardShelby
AL,Alabama,Jeff Sessions,326 Russell Senate Office Building Washington DC 20510,326 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4124,http://www.sessions.senate.gov/public/,jeffsessions,senatorsessions,SenatorSessions
AR,Arkansas,John Boozman,141 Hart Senate Office Building Washington DC 20510,141 Hart Senate Office Building,Washington,DC,20510,Republican,(202) 224-4843,http://www.boozman.senate.gov/public/,JohnBoozman,JohnBoozman,BoozmanPressOffice
AR,Arkansas,Tom Cotton,124 Russell Senate Office Building Washington DC 20510,124 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2353,http://www.cotton.senate.gov/,SenatorTomCotton,SenTomCotton,UCxrZsasJfxOVUEOnhed5doA
AZ,Arizona,John McCain,218 Russell Senate Office Building Washington DC 20510,218 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-2235,http://www.mccain.senate.gov/public/,johnmccain,SenJohnMcCain,SenatorJohnMcCain
AZ,Arizona,Jeff Flake,413 Russell Senate Office Building Washington DC 20510,413 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-4521,http://www.flake.senate.gov/public/,senatorjeffflake,JeffFlake,flakeoffice
CA,California,Dianne Feinstein,331 Hart Senate Office Building Washington DC 20510,331 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3841,http://www.feinstein.senate.gov/public/,SenatorFeinstein,SenFeinstein,SenatorFeinstein
CA,California,Kamala D. Harris,112 Hart Senate Office Building Washington DC 20510,112 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-3553,https://www.harris.senate.gov,KamalaHarris,KamalaHarris,
CO,Colorado,Michael F. Bennet,261 Russell Senate Office Building Washington DC 20510,261 Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5852,http://www.bennet.senate.gov/,senatorbennet,SenBennetCO,SenatorBennet
CO,Colorado,Cory Gardner,354 Russell Senate Office Building Washington DC 20510,354 Russell Senate Office Building,Washington,DC,20510,Republican,(202) 224-5941,http://www.gardner.senate.gov/,SenCoryGardner,sencorygardner,
CT,Connecticut,Richard Blumenthal,706 Hart Senate Office Building Washington DC 20510,706 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-2823,http://www.blumenthal.senate.gov/,SenBlumenthal,SenBlumenthal,SenatorBlumenthal
CT,Connecticut,Christopher Murphy,136 Hart Senate Office Building Washington DC 20510,136 Hart Senate Office Building,Washington,DC,20510,Democratic,(202) 224-4041,http://www.murphy.senate.gov/,ChrisMurphyCT,ChrisMurphyCT,SenChrisMurphy
DE,Delaware,Christopher A. Coons,127A Russell Senate Office Building Washington DC 20510,127A Russell Senate Office Building,Washington,DC,20510,Democratic,(202) 224-5042,http://www.coons.senate.gov/,senatorchriscoons,SenCoonsOffice,
